canonical_name,classification,paper_count,pct_of_papers,idf_score,graph_contribution,proposed_weight
Anytime-valid risk controlling prediction sets,SPECIALIZED,1,1.0,4.605,0,6.00
Arcface,SPECIALIZED,1,1.0,4.605,0,6.00
Assignment-then-diffusion strategy,SPECIALIZED,1,1.0,4.605,0,6.00
Attack-aware noise calibration,SPECIALIZED,1,1.0,4.605,0,6.00
Attention mechanism,SPECIALIZED,1,1.0,4.605,0,6.00
Attention module,SPECIALIZED,1,1.0,4.605,0,6.00
Attractor network,SPECIALIZED,1,1.0,4.605,0,6.00
Augmented Clarkson,SPECIALIZED,1,1.0,4.605,0,6.00
Augmented Clarkson algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
AutoAttack,SPECIALIZED,1,1.0,4.605,0,6.00
AutoDiff,SPECIALIZED,1,1.0,4.605,0,6.00
Autoregressive image diffusion (AID),SPECIALIZED,1,1.0,4.605,0,6.00
Autoregressive image diffusion model,SPECIALIZED,1,1.0,4.605,0,6.00
Autoregressive model,SPECIALIZED,1,1.0,4.605,0,6.00
Autoregressive models,SPECIALIZED,1,1.0,4.605,0,6.00
BERT,SPECIALIZED,1,1.0,4.605,0,6.00
BERT Small,SPECIALIZED,1,1.0,4.605,0,6.00
BERTScore,SPECIALIZED,1,1.0,4.605,0,6.00
BGE embeddings,SPECIALIZED,1,1.0,4.605,0,6.00
BM25,SPECIALIZED,1,1.0,4.605,0,6.00
BM25 retrieval,SPECIALIZED,1,1.0,4.605,0,6.00
BPE,SPECIALIZED,1,1.0,4.605,0,6.00
BPE tokenizer,SPECIALIZED,1,1.0,4.605,0,6.00
Back-propagation,SPECIALIZED,1,1.0,4.605,0,6.00
Backpropagation,SPECIALIZED,1,1.0,4.605,0,6.00
Banzhaf values,SPECIALIZED,1,1.0,4.605,0,6.00
Bayesian Causal Discovery algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
Bayesian approach for learning causal graphs with limited interventional samples,SPECIALIZED,1,1.0,4.605,0,6.00
Bayesian ensemble,SPECIALIZED,1,1.0,4.605,0,6.00
Bayesian ensemble interpretation of neural networks,SPECIALIZED,1,1.0,4.605,0,6.00
Bayesian ensembles,SPECIALIZED,1,1.0,4.605,0,6.00
Bayesian optimization,SPECIALIZED,1,1.0,4.605,0,6.00
Best response dynamics,SPECIALIZED,1,1.0,4.605,0,6.00
Beta-fairness,SPECIALIZED,1,1.0,4.605,0,6.00
Binary cross entropy (BCE) loss,SPECIALIZED,1,1.0,4.605,0,6.00
Binary decision diagrams,SPECIALIZED,1,1.0,4.605,0,6.00
Binary relevance surrogate,SPECIALIZED,1,1.0,4.605,0,6.00
Binary relevance surrogate loss,SPECIALIZED,1,1.0,4.605,0,6.00
Bisimulation metrics,SPECIALIZED,1,1.0,4.605,0,6.00
Blender,SPECIALIZED,1,1.0,4.605,0,6.00
Blind-prediction framework,SPECIALIZED,1,1.0,4.605,0,6.00
Blind-prediction setting,SPECIALIZED,1,1.0,4.605,0,6.00
Block-martingale small-ball condition,SPECIALIZED,1,1.0,4.605,0,6.00
Block-martingale-small-ball condition,SPECIALIZED,1,1.0,4.605,0,6.00
Butterfly Orthogonal Fine-Tuning,SPECIALIZED,1,1.0,4.605,0,6.00
C-bound,SPECIALIZED,1,1.0,4.605,0,6.00
CASP,SPECIALIZED,1,1.0,4.605,0,6.00
CEBRA,SPECIALIZED,1,1.0,4.605,0,6.00
CIPHER,SPECIALIZED,1,1.0,4.605,0,6.00
CIPHER algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
CLA2,SPECIALIZED,1,1.0,4.605,0,6.00
CLA3,SPECIALIZED,1,1.0,4.605,0,6.00
CLA4,SPECIALIZED,1,1.0,4.605,0,6.00
CLIP,SPECIALIZED,1,1.0,4.605,0,6.00
CLIP embeddings,SPECIALIZED,1,1.0,4.605,0,6.00
CMA-ES,SPECIALIZED,1,1.0,4.605,0,6.00
COGEX,SPECIALIZED,1,1.0,4.605,0,6.00
COGEX dataset,SPECIALIZED,1,1.0,4.605,0,6.00
COMET,SPECIALIZED,1,1.0,4.605,0,6.00
COMET metric,SPECIALIZED,1,1.0,4.605,0,6.00
COMET22,SPECIALIZED,1,1.0,4.605,0,6.00
COTACS,SPECIALIZED,1,1.0,4.605,0,6.00
CUGR,SPECIALIZED,1,1.0,4.605,0,6.00
CVaR evaluation protocol,SPECIALIZED,1,1.0,4.605,0,6.00
CatBoost,SPECIALIZED,1,1.0,4.605,0,6.00
Causal attention module,SPECIALIZED,1,1.0,4.605,0,6.00
Causal backdoor adjustment,SPECIALIZED,1,1.0,4.605,0,6.00
Cayley parametrization,SPECIALIZED,1,1.0,4.605,0,6.00
Chat Models,SPECIALIZED,1,1.0,4.605,0,6.00
Chebyshev-Cantelli inequality,SPECIALIZED,1,1.0,4.605,0,6.00
Chi-Square independence test,SPECIALIZED,1,1.0,4.605,0,6.00
Clarkson algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
Clarkson's algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
Class-balanced mixture method,SPECIALIZED,1,1.0,4.605,0,6.00
Claude 3 Opus,SPECIALIZED,1,1.0,4.605,0,6.00
Claude Sonnet 3.5,SPECIALIZED,1,1.0,4.605,0,6.00
Clustering,SPECIALIZED,1,1.0,4.605,0,6.00
Coarse-grained Sparsity,SPECIALIZED,1,1.0,4.605,0,6.00
Code Llama,SPECIALIZED,1,1.0,4.605,0,6.00
CodeLlama-7b,SPECIALIZED,1,1.0,4.605,0,6.00
Comp-sum losses,SPECIALIZED,1,1.0,4.605,0,6.00
Compact execution DAG,SPECIALIZED,1,1.0,4.605,0,6.00
Complete linkage,SPECIALIZED,1,1.0,4.605,0,6.00
Compositional inference framework,SPECIALIZED,1,1.0,4.605,0,6.00
Compositional inference framework over semirings,SPECIALIZED,1,1.0,4.605,0,6.00
Computational geometry tools,SPECIALIZED,1,1.0,4.605,0,6.00
Computer-aided synthesis planning,SPECIALIZED,1,1.0,4.605,0,6.00
Concept Sliders,SPECIALIZED,1,1.0,4.605,0,6.00
Concept signal,SPECIALIZED,1,1.0,4.605,0,6.00
Concept space framework,SPECIALIZED,1,1.0,4.605,0,6.00
Conditional mutual information,SPECIALIZED,1,1.0,4.605,0,6.00
Conditional value at risk,SPECIALIZED,1,1.0,4.605,0,6.00
Conjunctive vector-binding operation,SPECIALIZED,1,1.0,4.605,0,6.00
Conservation law for feature reuse and sparsity,SPECIALIZED,1,1.0,4.605,0,6.00
Consistency Models,SPECIALIZED,1,1.0,4.605,0,6.00
Constrained diffusion models,SPECIALIZED,1,1.0,4.605,0,6.00
Constrained losses,SPECIALIZED,1,1.0,4.605,0,6.00
Contextual Sparsity,SPECIALIZED,1,1.0,4.605,0,6.00
Contextual reasoning primitives,SPECIALIZED,1,1.0,4.605,0,6.00
Continual learning,SPECIALIZED,1,1.0,4.605,0,6.00
Control flow graph (CFG),SPECIALIZED,1,1.0,4.605,0,6.00
ConvNeXt-V2 Nano,SPECIALIZED,1,1.0,4.605,0,6.00
Convergent cross mapping,SPECIALIZED,1,1.0,4.605,0,6.00
Convolution-based attentions,SPECIALIZED,1,1.0,4.605,0,6.00
Coordinate mirror descent,SPECIALIZED,1,1.0,4.605,0,6.00
Core-sets,SPECIALIZED,1,1.0,4.605,0,6.00
Cost-robust contracts,SPECIALIZED,1,1.0,4.605,0,6.00
Counterfactual Clamping Attack,SPECIALIZED,1,1.0,4.605,0,6.00
Counterfactual Clamping loss function,SPECIALIZED,1,1.0,4.605,0,6.00
Counterfactual explanations,SPECIALIZED,1,1.0,4.605,0,6.00
Counterfactual interventions,SPECIALIZED,1,1.0,4.605,0,6.00
Counterintuitive exploration scheme,SPECIALIZED,1,1.0,4.605,0,6.00
Covariance Matrix Adaptation,SPECIALIZED,1,1.0,4.605,0,6.00
Cross-Layer Attention,SPECIALIZED,1,1.0,4.605,0,6.00
Cross-view contrastive knowledge distillation,SPECIALIZED,1,1.0,4.605,0,6.00
Cryptographic techniques,SPECIALIZED,1,1.0,4.605,0,6.00
Cryptographic transformer circuits,SPECIALIZED,1,1.0,4.605,0,6.00
Custom kernel for LayerNorm backward pass,SPECIALIZED,1,1.0,4.605,0,6.00
Custom kernel for computing per-example gradient norms,SPECIALIZED,1,1.0,4.605,0,6.00
Custom kernel for per-example gradient norms,SPECIALIZED,1,1.0,4.605,0,6.00
DAG sampler,SPECIALIZED,1,1.0,4.605,0,6.00
DALL-E 3,SPECIALIZED,1,1.0,4.605,0,6.00
DDIM,SPECIALIZED,1,1.0,4.605,0,6.00
DDIM (Denoising Diffusion Implicit Model),SPECIALIZED,1,1.0,4.605,0,6.00
DESP,SPECIALIZED,1,1.0,4.605,0,6.00
DMQ,SPECIALIZED,1,1.0,4.605,0,6.00
DP LoRA,SPECIALIZED,1,1.0,4.605,0,6.00
DP-SGD,SPECIALIZED,1,1.0,4.605,0,6.00
DRC,SPECIALIZED,1,1.0,4.605,0,6.00
DRRG,SPECIALIZED,1,1.0,4.605,0,6.00
DSKILL-MIX,SPECIALIZED,1,1.0,4.605,0,6.00
DSKILL-MIX datasets,SPECIALIZED,1,1.0,4.605,0,6.00
Data Shapley,SPECIALIZED,1,1.0,4.605,0,6.00
Data valuation,SPECIALIZED,1,1.0,4.605,0,6.00
DeGroot propagation model,SPECIALIZED,1,1.0,4.605,0,6.00
Decision trees,SPECIALIZED,1,1.0,4.605,0,6.00
Deep Gradient Compression,SPECIALIZED,1,1.0,4.605,0,6.00
Deep Q-networks,SPECIALIZED,1,1.0,4.605,0,6.00
Deep Value Network,SPECIALIZED,1,1.0,4.605,0,6.00
Deep ensembles,SPECIALIZED,1,1.0,4.605,0,6.00
Deep learning,SPECIALIZED,1,1.0,4.605,0,6.00
Deep linear models,SPECIALIZED,1,1.0,4.605,0,6.00
Deep linear neural networks,SPECIALIZED,1,1.0,4.605,0,6.00
Degree centrality,SPECIALIZED,1,1.0,4.605,0,6.00
Denoising diffusion probabilistic models (DDPMs),SPECIALIZED,1,1.0,4.605,0,6.00
DenseNet,SPECIALIZED,1,1.0,4.605,0,6.00
DiT,SPECIALIZED,1,1.0,4.605,0,6.00
DiTBlock,SPECIALIZED,1,1.0,4.605,0,6.00
Diagonal linear networks,SPECIALIZED,1,1.0,4.605,0,6.00
Dice loss,SPECIALIZED,1,1.0,4.605,0,6.00
Difference-in-means,SPECIALIZED,1,1.0,4.605,0,6.00
Difference-in-means direction,SPECIALIZED,1,1.0,4.605,0,6.00
Differentiable training objective for error control,SPECIALIZED,1,1.0,4.605,0,6.00
Differentiable training objective for error types,SPECIALIZED,1,1.0,4.605,0,6.00
Differential privacy,SPECIALIZED,1,1.0,4.605,0,6.00
Dimensionality reduction,SPECIALIZED,1,1.0,4.605,0,6.00
Direct feature attribution,SPECIALIZED,1,1.0,4.605,0,6.00
Directed Acyclic Graphs (DAG),SPECIALIZED,1,1.0,4.605,0,6.00
Directional ablation,SPECIALIZED,1,1.0,4.605,0,6.00
Dirichlet Process Mixture Model (DPMM),SPECIALIZED,1,1.0,4.605,0,6.00
Disagreement upper bound,SPECIALIZED,1,1.0,4.605,0,6.00
Discrimination objective,SPECIALIZED,1,1.0,4.605,0,6.00
Discrimination task,SPECIALIZED,1,1.0,4.605,0,6.00
Disentangled control conditions,SPECIALIZED,1,1.0,4.605,0,6.00
Disentanglement loss,SPECIALIZED,1,1.0,4.605,0,6.00
Distributed Alignment Search,SPECIALIZED,1,1.0,4.605,0,6.00
Distributed Data Parallel (DDP),SPECIALIZED,1,1.0,4.605,0,6.00
Distributed Lion,SPECIALIZED,1,1.0,4.605,0,6.00
Distributed Lion-Avg,SPECIALIZED,1,1.0,4.605,0,6.00
Distributed Lion-MaVo,SPECIALIZED,1,1.0,4.605,0,6.00
Document retriever,SPECIALIZED,1,1.0,4.605,0,6.00
Domain Randomisation,SPECIALIZED,1,1.0,4.605,0,6.00
Dominating pairs,SPECIALIZED,1,1.0,4.605,0,6.00
Double GSOFT,SPECIALIZED,1,1.0,4.605,0,6.00
Double-Ended Synthesis Planning,SPECIALIZED,1,1.0,4.605,0,6.00
Dreambooth,SPECIALIZED,1,1.0,4.605,0,6.00
Dual training algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
Dynamic Rescaling,SPECIALIZED,1,1.0,4.605,0,6.00
Dynamic programming Pareto front algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
E-processes,SPECIALIZED,1,1.0,4.605,0,6.00
E2GN2,SPECIALIZED,1,1.0,4.605,0,6.00
Efficient Method of Moments,SPECIALIZED,1,1.0,4.605,0,6.00
Efficient randomized algorithm for finite deviations,SPECIALIZED,1,1.0,4.605,0,6.00
EfficientPhys,SPECIALIZED,1,1.0,4.605,0,6.00
Empirical message variance measure,SPECIALIZED,1,1.0,4.605,0,6.00
Encrypted backdoor,SPECIALIZED,1,1.0,4.605,0,6.00
Energy score,SPECIALIZED,1,1.0,4.605,0,6.00
Ensembling,SPECIALIZED,1,1.0,4.605,0,6.00
Equivariant Graph Neural Networks,SPECIALIZED,1,1.0,4.605,0,6.00
Event-based Graph Spatiotemporal Sensitive Transformer,SPECIALIZED,1,1.0,4.605,0,6.00
Evidence lower bound,SPECIALIZED,1,1.0,4.605,0,6.00
Evidential learning,SPECIALIZED,1,1.0,4.605,0,6.00
Exact solution for training dynamics of JEPA and MAE,SPECIALIZED,1,1.0,4.605,0,6.00
Execution DAG,SPECIALIZED,1,1.0,4.605,0,6.00
Execution graph,SPECIALIZED,1,1.0,4.605,0,6.00
Execution tree,SPECIALIZED,1,1.0,4.605,0,6.00
Exploration-enhanced Equivariant Graph Neural Networks,SPECIALIZED,1,1.0,4.605,0,6.00
Explore-then-exploit,SPECIALIZED,1,1.0,4.605,0,6.00
FAB attack,SPECIALIZED,1,1.0,4.605,0,6.00
FAISS,SPECIALIZED,1,1.0,4.605,0,6.00
FCBC algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
FJR auditing algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
FLUTE,SPECIALIZED,1,1.0,4.605,0,6.00
FPR/FNR calibration,SPECIALIZED,1,1.0,4.605,0,6.00
Face feature fusion,SPECIALIZED,1,1.0,4.605,0,6.00
Face recognition,SPECIALIZED,1,1.0,4.605,0,6.00
Factor Relaxation with Latent Coupling,SPECIALIZED,1,1.0,4.605,0,6.00
Factor Relaxation with Latent Coupling algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
FactorizePhys,SPECIALIZED,1,1.0,4.605,0,6.00
Factorized Self-Attention Module,SPECIALIZED,1,1.0,4.605,0,6.00
FastMRI dataset,SPECIALIZED,1,1.0,4.605,0,6.00
Fbeta-measure loss,SPECIALIZED,1,1.0,4.605,0,6.00
Feature attribution,SPECIALIZED,1,1.0,4.605,0,6.00
Fictitious play,SPECIALIZED,1,1.0,4.605,0,6.00
Fine-grained Sparsity,SPECIALIZED,1,1.0,4.605,0,6.00
Fine-grained non-asymptotic analysis,SPECIALIZED,1,1.0,4.605,0,6.00
Fine-tuning,SPECIALIZED,1,1.0,4.605,0,6.00
Fixed-point forward gradients training,SPECIALIZED,1,1.0,4.605,0,6.00
Flow equations via a stochastic-process approach,SPECIALIZED,1,1.0,4.605,0,6.00
Flow problems on graphs,SPECIALIZED,1,1.0,4.605,0,6.00
Flow-based adaptive reweighting algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
Focal loss,SPECIALIZED,1,1.0,4.605,0,6.00
Foreground subject segmentation,SPECIALIZED,1,1.0,4.605,0,6.00
Forward gradients,SPECIALIZED,1,1.0,4.605,0,6.00
Fractal dimension,SPECIALIZED,1,1.0,4.605,0,6.00
Framework for discovering continuous and discrete symmetry beyond the affine transformation group,SPECIALIZED,1,1.0,4.605,0,6.00
Fully justified representation (FJR),SPECIALIZED,1,1.0,4.605,0,6.00
Fused Gromov-Wasserstein,SPECIALIZED,1,1.0,4.605,0,6.00
Fused Gromov-Wasserstein (FGW) OT,SPECIALIZED,1,1.0,4.605,0,6.00
GATs,SPECIALIZED,1,1.0,4.605,0,6.00
GIN,SPECIALIZED,1,1.0,4.605,0,6.00
GLOW,SPECIALIZED,1,1.0,4.605,0,6.00
GOLF,SPECIALIZED,1,1.0,4.605,0,6.00
GPT,SPECIALIZED,1,1.0,4.605,0,6.00
GPT-3.5,SPECIALIZED,1,1.0,4.605,0,6.00
GPT-3.5-turbo,SPECIALIZED,1,1.0,4.605,0,6.00
GPT-4o,SPECIALIZED,1,1.0,4.605,0,6.00
GPT-4v,SPECIALIZED,1,1.0,4.605,0,6.00
GPT-Index,SPECIALIZED,1,1.0,4.605,0,6.00
GPT-style transformer,SPECIALIZED,1,1.0,4.605,0,6.00
GRU,SPECIALIZED,1,1.0,4.605,0,6.00
GS Orthogonal Convolutions,SPECIALIZED,1,1.0,4.605,0,6.00
GSOFT,SPECIALIZED,1,1.0,4.605,0,6.00
GSOFT (GS Orthogonal Fine-Tuning),SPECIALIZED,1,1.0,4.605,0,6.00
Gauss-Newton matrix,SPECIALIZED,1,1.0,4.605,0,6.00
Gaussian Processes,SPECIALIZED,1,1.0,4.605,0,6.00
Gaussian kernel ridge regression,SPECIALIZED,1,1.0,4.605,0,6.00
Gaussian mechanism,SPECIALIZED,1,1.0,4.605,0,6.00
Gaussian process regression (GPR),SPECIALIZED,1,1.0,4.605,0,6.00
Gaussian universality ansatz,SPECIALIZED,1,1.0,4.605,0,6.00
Gaussian universality theorem for linear models,SPECIALIZED,1,1.0,4.605,0,6.00
Gemini,SPECIALIZED,1,1.0,4.605,0,6.00
Gemini Ultra 1.5,SPECIALIZED,1,1.0,4.605,0,6.00
Gemini-Pro,SPECIALIZED,1,1.0,4.605,0,6.00
Generalized Method of Moments,SPECIALIZED,1,1.0,4.605,0,6.00
Goal-Constrained Bidirectional Search,SPECIALIZED,1,1.0,4.605,0,6.00
Goal-conditioned cost network,SPECIALIZED,1,1.0,4.605,0,6.00
Google Muse,SPECIALIZED,1,1.0,4.605,0,6.00
Google Parti,SPECIALIZED,1,1.0,4.605,0,6.00
Gorilla,SPECIALIZED,1,1.0,4.605,0,6.00
GradDrop,SPECIALIZED,1,1.0,4.605,0,6.00
Gradient Dropping,SPECIALIZED,1,1.0,4.605,0,6.00
Gradient Noise Scale (GNS),SPECIALIZED,1,1.0,4.605,0,6.00
Gradient boosting,SPECIALIZED,1,1.0,4.605,0,6.00
Gradient clipping,SPECIALIZED,1,1.0,4.605,0,6.00
Gradient-boosted decision trees,SPECIALIZED,1,1.0,4.605,0,6.00
Gradual stacking,SPECIALIZED,1,1.0,4.605,0,6.00
Graph Attention Network (GAT),SPECIALIZED,1,1.0,4.605,0,6.00
Graph Attention Networks,SPECIALIZED,1,1.0,4.605,0,6.00
Graph Laplacian,SPECIALIZED,1,1.0,4.605,0,6.00
Graph-based attentions,SPECIALIZED,1,1.0,4.605,0,6.00
Graph-based post-processing algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
GraphSage,SPECIALIZED,1,1.0,4.605,0,6.00
Greedy Capture,SPECIALIZED,1,1.0,4.605,0,6.00
Greedy algorithms,SPECIALIZED,1,1.0,4.605,0,6.00
Greedy coordinate gradient (GCG),SPECIALIZED,1,1.0,4.605,0,6.00
GreedyCapture,SPECIALIZED,1,1.0,4.605,0,6.00
GreedyCohesiveClustering,SPECIALIZED,1,1.0,4.605,0,6.00
Grid resampling,SPECIALIZED,1,1.0,4.605,0,6.00
Gromov-Wasserstein,SPECIALIZED,1,1.0,4.605,0,6.00
Gromov-Wasserstein (GW) OT,SPECIALIZED,1,1.0,4.605,0,6.00
Gromov-Wasserstein OT,SPECIALIZED,1,1.0,4.605,0,6.00
Group-and-Shuffle (GS) matrices,SPECIALIZED,1,1.0,4.605,0,6.00
Group-and-Shuffle matrices,SPECIALIZED,1,1.0,4.605,0,6.00
Grouped-Query Attention,SPECIALIZED,1,1.0,4.605,0,6.00
Gumbel-Softmax,SPECIALIZED,1,1.0,4.605,0,6.00
H-consistency bounds,SPECIALIZED,1,1.0,4.605,0,6.00
H3 architecture,SPECIALIZED,1,1.0,4.605,0,6.00
