canonical_name,classification,paper_count,pct_of_papers,idf_score,graph_contribution,proposed_weight
Independent Cascade model,SPECIALIZED,1,1.0,4.605,0,6.00
Inference attacks,SPECIALIZED,1,1.0,4.605,0,6.00
Input pre-processing technique,SPECIALIZED,1,1.0,4.605,0,6.00
Input space margins,SPECIALIZED,1,1.0,4.605,0,6.00
Integral Probability Metric (IPM),SPECIALIZED,1,1.0,4.605,0,6.00
Invariant Function Extended Feature Matrix,SPECIALIZED,1,1.0,4.605,0,6.00
Iterative self-reflection feedback loop,SPECIALIZED,1,1.0,4.605,0,6.00
Iteratively reweighted least squares,SPECIALIZED,1,1.0,4.605,0,6.00
Iteratively reweighted least squares variant,SPECIALIZED,1,1.0,4.605,0,6.00
JB-CO-Task,SPECIALIZED,1,1.0,4.605,0,6.00
JB-CO-Text,SPECIALIZED,1,1.0,4.605,0,6.00
JB-MisGen,SPECIALIZED,1,1.0,4.605,0,6.00
Joint Embedding Predictive Architecture (JEPA),SPECIALIZED,1,1.0,4.605,0,6.00
Joint Embedding Predictive Architectures,SPECIALIZED,1,1.0,4.605,0,6.00
Kernel Density Estimator (KDE),SPECIALIZED,1,1.0,4.605,0,6.00
KernelSHAP,SPECIALIZED,1,1.0,4.605,0,6.00
Knowledge compilation,SPECIALIZED,1,1.0,4.605,0,6.00
Kozachenko-Leonenko estimator (WKL),SPECIALIZED,1,1.0,4.605,0,6.00
Kullback-Leibler divergence,SPECIALIZED,1,1.0,4.605,0,6.00
LACIE,SPECIALIZED,1,1.0,4.605,0,6.00
LACIE listener-aware finetuning method,SPECIALIZED,1,1.0,4.605,0,6.00
LC-Projection,SPECIALIZED,1,1.0,4.605,0,6.00
LIME,SPECIALIZED,1,1.0,4.605,0,6.00
LLM-as-a-judge,SPECIALIZED,1,1.0,4.605,0,6.00
LLaMA-2-13B-Chat,SPECIALIZED,1,1.0,4.605,0,6.00
LLaMA-7B,SPECIALIZED,1,1.0,4.605,0,6.00
LPIPS loss,SPECIALIZED,1,1.0,4.605,0,6.00
LSTM,SPECIALIZED,1,1.0,4.605,0,6.00
LZW tokenizer,SPECIALIZED,1,1.0,4.605,0,6.00
Label-specific representation learning,SPECIALIZED,1,1.0,4.605,0,6.00
Lagrangian multipliers,SPECIALIZED,1,1.0,4.605,0,6.00
Latent Preference Induction,SPECIALIZED,1,1.0,4.605,0,6.00
Latent adversarial training (LAT),SPECIALIZED,1,1.0,4.605,0,6.00
Latent coupling (LC) factorization,SPECIALIZED,1,1.0,4.605,0,6.00
Latent coupling factorization,SPECIALIZED,1,1.0,4.605,0,6.00
Latent intervention,SPECIALIZED,1,1.0,4.605,0,6.00
Latent space group action model,SPECIALIZED,1,1.0,4.605,0,6.00
Latent variable graphical models,SPECIALIZED,1,1.0,4.605,0,6.00
Latent variable models,SPECIALIZED,1,1.0,4.605,0,6.00
Latent video diffusion models,SPECIALIZED,1,1.0,4.605,0,6.00
LayerNorm,SPECIALIZED,1,1.0,4.605,0,6.00
Learnability-based training,SPECIALIZED,1,1.0,4.605,0,6.00
Learning from AI Feedback,SPECIALIZED,1,1.0,4.605,0,6.00
Least squares objective,SPECIALIZED,1,1.0,4.605,0,6.00
Least-squares estimation,SPECIALIZED,1,1.0,4.605,0,6.00
Level set estimation,SPECIALIZED,1,1.0,4.605,0,6.00
Levenshtein edit distance,SPECIALIZED,1,1.0,4.605,0,6.00
Lewis games,SPECIALIZED,1,1.0,4.605,0,6.00
LieGAN,SPECIALIZED,1,1.0,4.605,0,6.00
LightGBM,SPECIALIZED,1,1.0,4.605,0,6.00
Lindeberg approach,SPECIALIZED,1,1.0,4.605,0,6.00
Linear Vision Transformer,SPECIALIZED,1,1.0,4.605,0,6.00
Linear attention,SPECIALIZED,1,1.0,4.605,0,6.00
Linear function approximation,SPECIALIZED,1,1.0,4.605,0,6.00
Linear regression,SPECIALIZED,1,1.0,4.605,0,6.00
Linear regression decoder,SPECIALIZED,1,1.0,4.605,0,6.00
Linkage-based clustering,SPECIALIZED,1,1.0,4.605,0,6.00
Lion optimizer,SPECIALIZED,1,1.0,4.605,0,6.00
Listener-Aware Calibration for Implicit and Explicit confidence (LACIE),SPECIALIZED,1,1.0,4.605,0,6.00
Listener-aware finetuning,SPECIALIZED,1,1.0,4.605,0,6.00
Littlestone dimension,SPECIALIZED,1,1.0,4.605,0,6.00
Llama2,SPECIALIZED,1,1.0,4.605,0,6.00
Llama3-70B,SPECIALIZED,1,1.0,4.605,0,6.00
Llama3-8B,SPECIALIZED,1,1.0,4.605,0,6.00
Llava 1.5,SPECIALIZED,1,1.0,4.605,0,6.00
Local simulator access,SPECIALIZED,1,1.0,4.605,0,6.00
Logit Pairing,SPECIALIZED,1,1.0,4.605,0,6.00
Logit margins,SPECIALIZED,1,1.0,4.605,0,6.00
Looped models,SPECIALIZED,1,1.0,4.605,0,6.00
Loss upweighting,SPECIALIZED,1,1.0,4.605,0,6.00
Low-Rank Matrix Completion Approximation,SPECIALIZED,1,1.0,4.605,0,6.00
MART,SPECIALIZED,1,1.0,4.605,0,6.00
MIDAS,SPECIALIZED,1,1.0,4.605,0,6.00
MIENF estimator,SPECIALIZED,1,1.0,4.605,0,6.00
MPE,SPECIALIZED,1,1.0,4.605,0,6.00
MPI,SPECIALIZED,1,1.0,4.605,0,6.00
MPNET,SPECIALIZED,1,1.0,4.605,0,6.00
MPR optimization algorithms,SPECIALIZED,1,1.0,4.605,0,6.00
MRI reconstruction,SPECIALIZED,1,1.0,4.605,0,6.00
MTCNN,SPECIALIZED,1,1.0,4.605,0,6.00
Machine unlearning,SPECIALIZED,1,1.0,4.605,0,6.00
Majority vote,SPECIALIZED,1,1.0,4.605,0,6.00
Majority vote aggregation,SPECIALIZED,1,1.0,4.605,0,6.00
Majority vote strategies,SPECIALIZED,1,1.0,4.605,0,6.00
Margin consistency,SPECIALIZED,1,1.0,4.605,0,6.00
Marginal MAP,SPECIALIZED,1,1.0,4.605,0,6.00
Markov Chain Monte Carlo (MCMC),SPECIALIZED,1,1.0,4.605,0,6.00
Markov's inequality,SPECIALIZED,1,1.0,4.605,0,6.00
Mask R-CNN,SPECIALIZED,1,1.0,4.605,0,6.00
Masked Auto Encoder,SPECIALIZED,1,1.0,4.605,0,6.00
Masked AutoEncoder (MAE),SPECIALIZED,1,1.0,4.605,0,6.00
Matrix completion for MBR approximation,SPECIALIZED,1,1.0,4.605,0,6.00
Matrix completion for MBR decoding,SPECIALIZED,1,1.0,4.605,0,6.00
MatrixIRLS,SPECIALIZED,1,1.0,4.605,0,6.00
Maximal Marginal Relevance (MMR),SPECIALIZED,1,1.0,4.605,0,6.00
Maximum Mean Discrepancy (MMD),SPECIALIZED,1,1.0,4.605,0,6.00
Maximum Monte Carlo,SPECIALIZED,1,1.0,4.605,0,6.00
Mechanistic analysis of grokking and algorithmic shifts in skill composition,SPECIALIZED,1,1.0,4.605,0,6.00
Mechanistic explanation for SFT vs LAIF,SPECIALIZED,1,1.0,4.605,0,6.00
Median linkage,SPECIALIZED,1,1.0,4.605,0,6.00
Meek Rules,SPECIALIZED,1,1.0,4.605,0,6.00
Memory footprint reduction algorithms,SPECIALIZED,1,1.0,4.605,0,6.00
Message Passing Neural Networks,SPECIALIZED,1,1.0,4.605,0,6.00
Meta-learned plasticity rules,SPECIALIZED,1,1.0,4.605,0,6.00
Meta-learning,SPECIALIZED,1,1.0,4.605,0,6.00
Method for learning group actions on the latent space,SPECIALIZED,1,1.0,4.605,0,6.00
MetricX,SPECIALIZED,1,1.0,4.605,0,6.00
Metropolis sampling,SPECIALIZED,1,1.0,4.605,0,6.00
Mini-batch upsampling,SPECIALIZED,1,1.0,4.605,0,6.00
Minimal Subgraph Propagator,SPECIALIZED,1,1.0,4.605,0,6.00
Minimum Bayes Risk decoding,SPECIALIZED,1,1.0,4.605,0,6.00
Minimum Cost Counterfactuals (MCCF),SPECIALIZED,1,1.0,4.605,0,6.00
Minimum norm interpolating solutions,SPECIALIZED,1,1.0,4.605,0,6.00
Mirror Sinkhorn,SPECIALIZED,1,1.0,4.605,0,6.00
Mistral-7B-Instruct-v0.2,SPECIALIZED,1,1.0,4.605,0,6.00
Mixture-of-experts,SPECIALIZED,1,1.0,4.605,0,6.00
MobileNet,SPECIALIZED,1,1.0,4.605,0,6.00
Modular Regression,SPECIALIZED,1,1.0,4.605,0,6.00
Modular attractor network,SPECIALIZED,1,1.0,4.605,0,6.00
Moment Matching Distillation,SPECIALIZED,1,1.0,4.605,0,6.00
Monarch matrices,SPECIALIZED,1,1.0,4.605,0,6.00
Monte Carlo integration,SPECIALIZED,1,1.0,4.605,0,6.00
Monte Carlo sample,SPECIALIZED,1,1.0,4.605,0,6.00
Monte Carlo sampling,SPECIALIZED,1,1.0,4.605,0,6.00
Multi-Group Optimized Proportional Retrieval (MOPR),SPECIALIZED,1,1.0,4.605,0,6.00
Multi-Group Optimized Proportional Retrieval (MOPR) algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
Multi-Group Proportional Representation,SPECIALIZED,1,1.0,4.605,0,6.00
Multi-Group Proportional Representation (MPR) metric,SPECIALIZED,1,1.0,4.605,0,6.00
Multi-Head Attention,SPECIALIZED,1,1.0,4.605,0,6.00
Multi-Query Attention,SPECIALIZED,1,1.0,4.605,0,6.00
Multi-label comp-sum losses,SPECIALIZED,1,1.0,4.605,0,6.00
Multi-label constrained losses,SPECIALIZED,1,1.0,4.605,0,6.00
Multi-label logistic loss,SPECIALIZED,1,1.0,4.605,0,6.00
Multi-task learning,SPECIALIZED,1,1.0,4.605,0,6.00
Multiclass SVM,SPECIALIZED,1,1.0,4.605,0,6.00
Multiclass exponential tail property,SPECIALIZED,1,1.0,4.605,0,6.00
Multiclass extension of the exponential tail property,SPECIALIZED,1,1.0,4.605,0,6.00
Multihead Attention (MHA),SPECIALIZED,1,1.0,4.605,0,6.00
Multirocket transform,SPECIALIZED,1,1.0,4.605,0,6.00
Mutual fairness,SPECIALIZED,1,1.0,4.605,0,6.00
Mutual information estimation,SPECIALIZED,1,1.0,4.605,0,6.00
N-MIENF,SPECIALIZED,1,1.0,4.605,0,6.00
NAO,SPECIALIZED,1,1.0,4.605,0,6.00
NP-complete verification backdoor,SPECIALIZED,1,1.0,4.605,0,6.00
NTE posterior update rule,SPECIALIZED,1,1.0,4.605,0,6.00
Naive inference module,SPECIALIZED,1,1.0,4.605,0,6.00
Named Entity Recognition,SPECIALIZED,1,1.0,4.605,0,6.00
Nearest neighbor Kraskov-Stoegbauer-Grassberger (KSG),SPECIALIZED,1,1.0,4.605,0,6.00
Nearest neighbor kernel smoothing,SPECIALIZED,1,1.0,4.605,0,6.00
Negation normal forms (NNF),SPECIALIZED,1,1.0,4.605,0,6.00
Nested feature selection regime,SPECIALIZED,1,1.0,4.605,0,6.00
Net augmented graph (NAG),SPECIALIZED,1,1.0,4.605,0,6.00
Neural Embeddings Rank,SPECIALIZED,1,1.0,4.605,0,6.00
Neural ODEs,SPECIALIZED,1,1.0,4.605,0,6.00
Neural Tangent Ensemble,SPECIALIZED,1,1.0,4.605,0,6.00
Neural Tangent Kernel,SPECIALIZED,1,1.0,4.605,0,6.00
Neural operators,SPECIALIZED,1,1.0,4.605,0,6.00
Neural polarization law,SPECIALIZED,1,1.0,4.605,0,6.00
Neural tangent experts,SPECIALIZED,1,1.0,4.605,0,6.00
NeuralSteiner,SPECIALIZED,1,1.0,4.605,0,6.00
Next-token prediction,SPECIALIZED,1,1.0,4.605,0,6.00
Noisy Reward Machine Environment,SPECIALIZED,1,1.0,4.605,0,6.00
Noisy replicate padding,SPECIALIZED,1,1.0,4.605,0,6.00
Non-asymptotic convergence rates,SPECIALIZED,1,1.0,4.605,0,6.00
Non-convex rank minimization,SPECIALIZED,1,1.0,4.605,0,6.00
Non-linear perceptron,SPECIALIZED,1,1.0,4.605,0,6.00
Nonlinear Modeling Error matrix,SPECIALIZED,1,1.0,4.605,0,6.00
Nonlocal Attention Operator,SPECIALIZED,1,1.0,4.605,0,6.00
Nonnegative matrix factorization,SPECIALIZED,1,1.0,4.605,0,6.00
Normalized gradient descent,SPECIALIZED,1,1.0,4.605,0,6.00
Normalizing flows based mutual information estimators,SPECIALIZED,1,1.0,4.605,0,6.00
Normative model for spatial representation,SPECIALIZED,1,1.0,4.605,0,6.00
Normative model for spatial representation using residue number system,SPECIALIZED,1,1.0,4.605,0,6.00
Numerical estimation,SPECIALIZED,1,1.0,4.605,0,6.00
OPRO,SPECIALIZED,1,1.0,4.605,0,6.00
OPTO,SPECIALIZED,1,1.0,4.605,0,6.00
Oja's rule,SPECIALIZED,1,1.0,4.605,0,6.00
One-step retrosynthesis models,SPECIALIZED,1,1.0,4.605,0,6.00
Online Gradient Descent,SPECIALIZED,1,1.0,4.605,0,6.00
Optimal composite hypothesis tests,SPECIALIZED,1,1.0,4.605,0,6.00
Optimistic Gradient,SPECIALIZED,1,1.0,4.605,0,6.00
Optimization with Trace Oracle,SPECIALIZED,1,1.0,4.605,0,6.00
Option-level MCTS formulation,SPECIALIZED,1,1.0,4.605,0,6.00
OptoPrime,SPECIALIZED,1,1.0,4.605,0,6.00
Orthogonal Fine-Tuning,SPECIALIZED,1,1.0,4.605,0,6.00
Orthogonal Procrustes analysis,SPECIALIZED,1,1.0,4.605,0,6.00
Orthogonal convolutions,SPECIALIZED,1,1.0,4.605,0,6.00
Orthogonal finetuning,SPECIALIZED,1,1.0,4.605,0,6.00
Outcome Reward Model,SPECIALIZED,1,1.0,4.605,0,6.00
Output-sensitive algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
Output-sensitive cell enumeration,SPECIALIZED,1,1.0,4.605,0,6.00
Output-sensitive partition search,SPECIALIZED,1,1.0,4.605,0,6.00
P-tensors,SPECIALIZED,1,1.0,4.605,0,6.00
PAC-Bayes bound,SPECIALIZED,1,1.0,4.605,0,6.00
PAC-Bayes bound for multiple errors,SPECIALIZED,1,1.0,4.605,0,6.00
PAC-Bayes generalisation bounds,SPECIALIZED,1,1.0,4.605,0,6.00
PBLD embeddings,SPECIALIZED,1,1.0,4.605,0,6.00
PC algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
PHATE,SPECIALIZED,1,1.0,4.605,0,6.00
PMBR,SPECIALIZED,1,1.0,4.605,0,6.00
PMBR decoding,SPECIALIZED,1,1.0,4.605,0,6.00
PRELUDE,SPECIALIZED,1,1.0,4.605,0,6.00
PRELUDE framework,SPECIALIZED,1,1.0,4.605,0,6.00
PaLM8B,SPECIALIZED,1,1.0,4.605,0,6.00
Paley-Zygmund Petrov inequality,SPECIALIZED,1,1.0,4.605,0,6.00
Parameter-space moment matching,SPECIALIZED,1,1.0,4.605,0,6.00
Pareto front tracing algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
Partially Observable Markov Decision Process,SPECIALIZED,1,1.0,4.605,0,6.00
Partially observable Markov decision processes,SPECIALIZED,1,1.0,4.605,0,6.00
Pattern classes,SPECIALIZED,1,1.0,4.605,0,6.00
Pay-for-performance contract framework,SPECIALIZED,1,1.0,4.605,0,6.00
Penalty SAM (PSAM),SPECIALIZED,1,1.0,4.605,0,6.00
Per-example gradient norms,SPECIALIZED,1,1.0,4.605,0,6.00
Perfect Regret,SPECIALIZED,1,1.0,4.605,0,6.00
Permutation Equivariant and Relative Margin-based losses,SPECIALIZED,1,1.0,4.605,0,6.00
Permutation sampling,SPECIALIZED,1,1.0,4.605,0,6.00
Persistent homology dimension,SPECIALIZED,1,1.0,4.605,0,6.00
Phi-equilibria,SPECIALIZED,1,1.0,4.605,0,6.00
Pipeline loss,SPECIALIZED,1,1.0,4.605,0,6.00
Pointer Execution Reverse Multicount (PERM) task,SPECIALIZED,1,1.0,4.605,0,6.00
Pointer Execution Reverse Multicount task,SPECIALIZED,1,1.0,4.605,0,6.00
Pointer Execution's neighbor task,SPECIALIZED,1,1.0,4.605,0,6.00
Pointer Execution’s neighbor (PEN) task,SPECIALIZED,1,1.0,4.605,0,6.00
Polarization,SPECIALIZED,1,1.0,4.605,0,6.00
Polarization of an ensemble,SPECIALIZED,1,1.0,4.605,0,6.00
Polynomial regression,SPECIALIZED,1,1.0,4.605,0,6.00
Polynomial-time algorithm for fixed centers,SPECIALIZED,1,1.0,4.605,0,6.00
Pooling,SPECIALIZED,1,1.0,4.605,0,6.00
Positive Value Loss,SPECIALIZED,1,1.0,4.605,0,6.00
Post-Hoc Bias Mitigation (PBM),SPECIALIZED,1,1.0,4.605,0,6.00
Pre-computed features,SPECIALIZED,1,1.0,4.605,0,6.00
Preconditioned gradient descent,SPECIALIZED,1,1.0,4.605,0,6.00
Preference optimization,SPECIALIZED,1,1.0,4.605,0,6.00
Pretrained models,SPECIALIZED,1,1.0,4.605,0,6.00
Pretraining,SPECIALIZED,1,1.0,4.605,0,6.00
Pretraining and finetuning,SPECIALIZED,1,1.0,4.605,0,6.00
Pretraining and finetuning (PT+FT),SPECIALIZED,1,1.0,4.605,0,6.00
Principal-agent game,SPECIALIZED,1,1.0,4.605,0,6.00
Prioritised Level Replay,SPECIALIZED,1,1.0,4.605,0,6.00
Privacy loss random variables (PLRVs),SPECIALIZED,1,1.0,4.605,0,6.00
Probabilistic Context-free Grammars,SPECIALIZED,1,1.0,4.605,0,6.00
Probabilistic answer set programming inference,SPECIALIZED,1,1.0,4.605,0,6.00
Probabilistic circuits,SPECIALIZED,1,1.0,4.605,0,6.00
Probabilistic logic programming,SPECIALIZED,1,1.0,4.605,0,6.00
Process Reward Model,SPECIALIZED,1,1.0,4.605,0,6.00
Progressive stacking,SPECIALIZED,1,1.0,4.605,0,6.00
ProtoNets,SPECIALIZED,1,1.0,4.605,0,6.00
Proxy-based sparse expert selection and pooling,SPECIALIZED,1,1.0,4.605,0,6.00
ProxyFusion,SPECIALIZED,1,1.0,4.605,0,6.00
Pseudo-margin,SPECIALIZED,1,1.0,4.605,0,6.00
Pseudo-programs,SPECIALIZED,1,1.0,4.605,0,6.00
PyTorch,SPECIALIZED,1,1.0,4.605,0,6.00
Python sympy,SPECIALIZED,1,1.0,4.605,0,6.00
Q-learning,SPECIALIZED,1,1.0,4.605,0,6.00
QB-Vine,SPECIALIZED,1,1.0,4.605,0,6.00
QLoRA,SPECIALIZED,1,1.0,4.605,0,6.00
QZO-FF,SPECIALIZED,1,1.0,4.605,0,6.00
QZO-FF enhancement,SPECIALIZED,1,1.0,4.605,0,6.00
Quantized assignment,SPECIALIZED,1,1.0,4.605,0,6.00
Quantized forward gradient learning,SPECIALIZED,1,1.0,4.605,0,6.00
Quantized training,SPECIALIZED,1,1.0,4.605,0,6.00
Quasi-Bayesian Vine,SPECIALIZED,1,1.0,4.605,0,6.00
Quasi-Bayesian methods,SPECIALIZED,1,1.0,4.605,0,6.00
REINFORCE,SPECIALIZED,1,1.0,4.605,0,6.00
REINFORCE policy-gradient rule,SPECIALIZED,1,1.0,4.605,0,6.00
RL-based centralized dynamic planning framework,SPECIALIZED,1,1.0,4.605,0,6.00
RMSNorm,SPECIALIZED,1,1.0,4.605,0,6.00
RSA model,SPECIALIZED,1,1.0,4.605,0,6.00
Rademacher complexity,SPECIALIZED,1,1.0,4.605,0,6.00
Ranking algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
Ratio Matching,SPECIALIZED,1,1.0,4.605,0,6.00
ReAct-CoT,SPECIALIZED,1,1.0,4.605,0,6.00
ReLU networks,SPECIALIZED,1,1.0,4.605,0,6.00
Real NVP,SPECIALIZED,1,1.0,4.605,0,6.00
RealMLP,SPECIALIZED,1,1.0,4.605,0,6.00
RealMLP-TD,SPECIALIZED,1,1.0,4.605,0,6.00
RealMLP-TD-S,SPECIALIZED,1,1.0,4.605,0,6.00
RealTabR-D,SPECIALIZED,1,1.0,4.605,0,6.00
Reasoning primitives,SPECIALIZED,1,1.0,4.605,0,6.00
Reconstruction objective,SPECIALIZED,1,1.0,4.605,0,6.00
Reconstruction task,SPECIALIZED,1,1.0,4.605,0,6.00
Rectilinear Steiner tree generation,SPECIALIZED,1,1.0,4.605,0,6.00
Recurrent crisscross attention (RCCA),SPECIALIZED,1,1.0,4.605,0,6.00
Recurrent neural networks,SPECIALIZED,1,1.0,4.605,0,6.00
Recursive Bayesian Predictive (R-BP),SPECIALIZED,1,1.0,4.605,0,6.00
Recursive Value Function Search,SPECIALIZED,1,1.0,4.605,0,6.00
Refusal direction extraction,SPECIALIZED,1,1.0,4.605,0,6.00
Regret testing algorithm,SPECIALIZED,1,1.0,4.605,0,6.00
Reinforcement learning from human feedback,SPECIALIZED,1,1.0,4.605,0,6.00
Relational match-to-sample,SPECIALIZED,1,1.0,4.605,0,6.00
Relational match-to-sample (RMTS) task,SPECIALIZED,1,1.0,4.605,0,6.00
Relative Gradients Balancing,SPECIALIZED,1,1.0,4.605,0,6.00
ResNet50,SPECIALIZED,1,1.0,4.605,0,6.00
Residual Quantization,SPECIALIZED,1,1.0,4.605,0,6.00
Residue number system,SPECIALIZED,1,1.0,4.605,0,6.00
Restricted isometry property (RIP),SPECIALIZED,1,1.0,4.605,0,6.00
Restricted isometry property on a tangent space,SPECIALIZED,1,1.0,4.605,0,6.00
RetinaFace,SPECIALIZED,1,1.0,4.605,0,6.00
Retrieval augmented generation,SPECIALIZED,1,1.0,4.605,0,6.00
Retriever-Aware Training,SPECIALIZED,1,1.0,4.605,0,6.00
Reward Machines,SPECIALIZED,1,1.0,4.605,0,6.00
Ridge regression,SPECIALIZED,1,1.0,4.605,0,6.00
Riemannian stochastic gradient descent,SPECIALIZED,1,1.0,4.605,0,6.00
Risk controlling prediction set (RCPS),SPECIALIZED,1,1.0,4.605,0,6.00
RobustScaler,SPECIALIZED,1,1.0,4.605,0,6.00
Rotary Positional Embedding,SPECIALIZED,1,1.0,4.605,0,6.00
Rotary position embeddings,SPECIALIZED,1,1.0,4.605,0,6.00
Rule-based reasoning,SPECIALIZED,1,1.0,4.605,0,6.00
SAFEOPT,SPECIALIZED,1,1.0,4.605,0,6.00
SEGNN,SPECIALIZED,1,1.0,4.605,0,6.00
SHA-256,SPECIALIZED,1,1.0,4.605,0,6.00
SIRIUS,SPECIALIZED,1,1.0,4.605,0,6.00
SIRIUS correction mechanism,SPECIALIZED,1,1.0,4.605,0,6.00
SKILL-MIX,SPECIALIZED,1,1.0,4.605,0,6.00
SKILL-MIX evaluation,SPECIALIZED,1,1.0,4.605,0,6.00
SMACv2,SPECIALIZED,1,1.0,4.605,0,6.00
SMOOTHIE,SPECIALIZED,1,1.0,4.605,0,6.00
SMOOTHIE-GLOBAL,SPECIALIZED,1,1.0,4.605,0,6.00
SMOOTHIE-LOCAL,SPECIALIZED,1,1.0,4.605,0,6.00
SMOOTHIE-TRAIN,SPECIALIZED,1,1.0,4.605,0,6.00
SVRG,SPECIALIZED,1,1.0,4.605,0,6.00
SVRG-type variance reduction,SPECIALIZED,1,1.0,4.605,0,6.00
Sampling For Learnability,SPECIALIZED,1,1.0,4.605,0,6.00
Satisficing paths,SPECIALIZED,1,1.0,4.605,0,6.00
Satisficing paths to equilibrium,SPECIALIZED,1,1.0,4.605,0,6.00
ScatterNet,SPECIALIZED,1,1.0,4.605,0,6.00
Scene description benchmark,SPECIALIZED,1,1.0,4.605,0,6.00
Schur Nets,SPECIALIZED,1,1.0,4.605,0,6.00
Schur layers,SPECIALIZED,1,1.0,4.605,0,6.00
Self-attention,SPECIALIZED,1,1.0,4.605,0,6.00
Self-distillation,SPECIALIZED,1,1.0,4.605,0,6.00
Self-instruct,SPECIALIZED,1,1.0,4.605,0,6.00
Semantic consistency,SPECIALIZED,1,1.0,4.605,0,6.00
Sensory-cognitive models,SPECIALIZED,1,1.0,4.605,0,6.00
Sensory-cognitive models utilizing naturalistic stimuli,SPECIALIZED,1,1.0,4.605,0,6.00
SentenceBERT,SPECIALIZED,1,1.0,4.605,0,6.00
SentenceBERT embeddings,SPECIALIZED,1,1.0,4.605,0,6.00
Set-membership estimation,SPECIALIZED,1,1.0,4.605,0,6.00
Shapley values,SPECIALIZED,1,1.0,4.605,0,6.00
Sharpness aware minimization (SAM),SPECIALIZED,1,1.0,4.605,0,6.00
Sharpness-Aware Minimization,SPECIALIZED,1,1.0,4.605,0,6.00
Short-flat decomposition framework,SPECIALIZED,1,1.0,4.605,0,6.00
SimGolf,SPECIALIZED,1,1.0,4.605,0,6.00
SimpleShot,SPECIALIZED,1,1.0,4.605,0,6.00
Simplex method,SPECIALIZED,1,1.0,4.605,0,6.00
Single linkage,SPECIALIZED,1,1.0,4.605,0,6.00
Single-hidden-layer ReLU networks,SPECIALIZED,1,1.0,4.605,0,6.00
Singular value decomposition,SPECIALIZED,1,1.0,4.605,0,6.00
Sinkhorn Policy Iteration,SPECIALIZED,1,1.0,4.605,0,6.00
Sinkhorn Value Iteration,SPECIALIZED,1,1.0,4.605,0,6.00
Skew orthogonal convolution (SOC),SPECIALIZED,1,1.0,4.605,0,6.00
Sklar's theorem,SPECIALIZED,1,1.0,4.605,0,6.00
Sklar’s theorem,SPECIALIZED,1,1.0,4.605,0,6.00
Slither,SPECIALIZED,1,1.0,4.605,0,6.00
Sparse expert selection,SPECIALIZED,1,1.0,4.605,0,6.00
Spatial meaningfulness,SPECIALIZED,1,1.0,4.605,0,6.00
Spatial meaningfulness framework,SPECIALIZED,1,1.0,4.605,0,6.00
Spatio-temporal kernel,SPECIALIZED,1,1.0,4.605,0,6.00
Spatiotemporal Sensitivity Module,SPECIALIZED,1,1.0,4.605,0,6.00
Spectral graph theory,SPECIALIZED,1,1.0,4.605,0,6.00
Speculative Decoding,SPECIALIZED,1,1.0,4.605,0,6.00
Splines,SPECIALIZED,1,1.0,4.605,0,6.00
Stable Diffusion Ultra,SPECIALIZED,1,1.0,4.605,0,6.00
Standard contract theory,SPECIALIZED,1,1.0,4.605,0,6.00
State merge,SPECIALIZED,1,1.0,4.605,0,6.00
Static single assignment,SPECIALIZED,1,1.0,4.605,0,6.00
Statistical hypothesis testing,SPECIALIZED,1,1.0,4.605,0,6.00
Stochastic Amortization with noisy labels,SPECIALIZED,1,1.0,4.605,0,6.00
Stochastic Seedset Selection Descent,SPECIALIZED,1,1.0,4.605,0,6.00
Stochastic amortization,SPECIALIZED,1,1.0,4.605,0,6.00
Stochastic mirror descent,SPECIALIZED,1,1.0,4.605,0,6.00
Stochastic processes,SPECIALIZED,1,1.0,4.605,0,6.00
Stochastic-process approach,SPECIALIZED,1,1.0,4.605,0,6.00
Stochastic-process approach for learning dynamics,SPECIALIZED,1,1.0,4.605,0,6.00
StopGrad operator,SPECIALIZED,1,1.0,4.605,0,6.00
Stravinsky programming language,SPECIALIZED,1,1.0,4.605,0,6.00
Strong meta-tuned default parameters,SPECIALIZED,1,1.0,4.605,0,6.00
Structured orthogonal parametrization,SPECIALIZED,1,1.0,4.605,0,6.00
Sum-product networks,SPECIALIZED,1,1.0,4.605,0,6.00
Supervised Safety Fine-Tuning,SPECIALIZED,1,1.0,4.605,0,6.00
Supervised contrastive loss,SPECIALIZED,1,1.0,4.605,0,6.00
Surrogate model training,SPECIALIZED,1,1.0,4.605,0,6.00
SwiGLU,SPECIALIZED,1,1.0,4.605,0,6.00
Synatra,SPECIALIZED,1,1.0,4.605,0,6.00
Synatra-CodeLlama,SPECIALIZED,1,1.0,4.605,0,6.00
Synthetic activation NME intervention,SPECIALIZED,1,1.0,4.605,0,6.00
Synthetic data generation framework,SPECIALIZED,1,1.0,4.605,0,6.00
TMC estimator,SPECIALIZED,1,1.0,4.605,0,6.00
TRADES,SPECIALIZED,1,1.0,4.605,0,6.00
TVSAFEOPT,SPECIALIZED,1,1.0,4.605,0,6.00
TabR,SPECIALIZED,1,1.0,4.605,0,6.00
Takens' theorem,SPECIALIZED,1,1.0,4.605,0,6.00
